X,Y,Z,Activity,,,
0.881,-0.44,-0.13,0,,,
0.881,-0.44,-0.13,0,,,
0.883,-0.442,-0.134,0,,,
0.88,-0.448,-0.126,0,,,
0.88,-0.448,-0.126,0,,,
0.879,-0.456,-0.131,0,,,
0.898,-0.453,-0.12,0,,,
0.899,-0.46,-0.118,0,,,
0.896,-0.468,-0.116,0,,,
0.892,-0.461,-0.12,0,,,
0.892,-0.461,-0.12,0,,,
0.892,-0.454,-0.121,0,,,
0.875,-0.433,-0.115,0,,,
0.875,-0.433,-0.115,0,,,
0.871,-0.427,-0.115,0,,,
0.88,-0.442,-0.11,0,,,
0.88,-0.442,-0.11,0,,,
0.877,-0.443,-0.108,0,,,
0.899,-0.429,-0.097,0,,,
0.899,-0.429,-0.097,0,,,
0.903,-0.433,-0.094,0,,,
0.897,-0.421,-0.072,0,,,
0.897,-0.421,-0.072,0,,,
0.902,-0.421,-0.073,0,,,
0.913,-0.385,-0.042,0,,,
0.913,-0.385,-0.042,0,,,
0.913,-0.385,-0.042,0,,,
0.917,-0.438,-0.028,0,,,
0.931,-0.441,-0.024,0,,,
0.94,-0.441,-0.016,0,,,
0.938,-0.438,0.012,0,,,
0.932,-0.44,0.019,0,,,
0.932,-0.433,0.029,0,,,
0.907,-0.446,-0.031,0,,,
0.907,-0.446,-0.031,0,,,
0.907,-0.446,-0.031,0,,,
0.884,-0.493,0.008,0,,,
0.884,-0.493,0.008,0,,,
0.88,-0.496,0.013,0,,,
0.871,-0.526,0.019,0,,,
0.871,-0.526,0.019,0,,,
0.861,-0.525,0.022,0,,,
0.859,-0.502,0.035,0,,,
0.862,-0.51,0.041,0,,,
0.862,-0.51,0.041,0,,,
0.861,-0.518,0.066,0,,,
0.861,-0.518,0.066,0,,,
0.859,-0.527,0.07,0,,,
0.821,-0.502,0.112,0,,,
0.813,-0.553,0.12,0,,,
0.813,-0.553,0.12,0,,,
0.807,-0.57,0.122,0,,,
0.76,-0.519,0.119,0,,,
0.76,-0.519,0.119,0,,,
0.765,-0.514,0.108,0,,,
0.77,-0.514,0.103,0,,,
0.77,-0.515,0.104,0,,,
0.766,-0.511,0.107,0,,,
0.764,-0.503,0.155,0,,,
0.761,-0.502,0.156,0,,,
0.752,-0.51,0.152,0,,,
0.721,-0.589,0.156,0,,,
0.718,-0.595,0.153,0,,,
0.718,-0.595,0.153,0,,,
0.71,-0.612,0.164,0,,,
0.716,-0.614,0.157,0,,,
0.716,-0.614,0.157,0,,,
0.756,-0.593,0.178,0,,,
0.765,-0.6,0.184,0,,,
0.765,-0.6,0.184,0,,,
0.707,-0.593,0.282,0,,,
0.707,-0.593,0.282,0,,,
0.699,-0.598,0.275,0,,,
0.733,-0.632,0.239,0,,,
0.733,-0.632,0.239,0,,,
0.732,-0.637,0.25,0,,,
0.713,-0.7,0.246,0,,,
0.713,-0.7,0.246,0,,,
0.705,-0.698,0.247,0,,,
0.764,-0.676,0.294,0,,,
0.764,-0.676,0.294,0,,,
0.764,-0.676,0.294,0,,,
0.699,-0.703,0.355,0,,,
0.699,-0.703,0.355,0,,,
0.688,-0.668,0.325,0,,,
0.67,-0.497,0.178,0,,,
0.67,-0.497,0.178,0,,,
0.669,-0.495,0.174,0,,,
0.59,-0.495,0.202,0,,,
0.59,-0.495,0.202,0,,,
0.578,-0.497,0.201,0,,,
0.628,-0.48,0.186,0,,,
0.628,-0.48,0.186,0,,,
0.628,-0.48,0.186,0,,,
0.611,-0.581,0.243,0,,,
0.603,-0.599,0.26,0,,,
0.596,-0.616,0.273,0,,,
0.629,-0.606,0.254,0,,,
0.629,-0.606,0.254,0,,,
0.643,-0.608,0.253,0,,,
0.766,-0.588,0.237,0,,,
0.766,-0.588,0.237,0,,,
0.766,-0.588,0.237,0,,,
0.721,-0.621,0.24,0,,,
0.721,-0.621,0.24,0,,,
0.721,-0.621,0.24,0,,,
0.739,-0.682,0.316,0,,,
0.739,-0.682,0.316,0,,,
0.739,-0.682,0.316,0,,,
0.859,-0.684,0.229,0,,,
0.859,-0.684,0.229,0,,,
0.877,-0.676,0.222,0,,,
0.827,-0.613,0.236,0,,,
0.827,-0.613,0.236,0,,,
0.777,-0.601,0.235,0,,,
0.721,-0.532,0.2,0,,,
0.721,-0.532,0.2,0,,,
0.709,-0.538,0.203,0,,,
0.725,-0.632,0.24,0,,,
0.725,-0.632,0.24,0,,,
0.74,-0.648,0.235,0,,,
0.736,-0.547,0.112,0,,,
0.736,-0.547,0.112,0,,,
0.741,-0.521,0.096,0,,,
0.944,-0.613,0.15,0,,,
0.944,-0.613,0.15,0,,,
0.907,-0.585,0.132,0,,,
0.805,-0.503,0.131,0,,,
0.805,-0.503,0.131,0,,,
0.8,-0.529,0.142,0,,,
0.781,-0.595,0.147,0,,,
0.781,-0.595,0.147,0,,,
0.774,-0.599,0.147,0,,,
0.766,-0.595,0.152,0,,,
0.766,-0.595,0.152,0,,,
0.766,-0.591,0.152,0,,,
0.769,-0.566,0.154,0,,,
0.769,-0.567,0.158,0,,,
0.771,-0.568,0.162,0,,,
0.764,-0.589,0.167,0,,,
0.764,-0.589,0.167,0,,,
0.764,-0.589,0.167,0,,,
0.737,-0.596,0.155,0,,,
0.737,-0.596,0.155,0,,,
0.765,-0.578,0.163,0,,,
0.78,-0.599,0.166,0,,,
0.78,-0.599,0.166,0,,,
0.773,-0.593,0.163,0,,,
0.721,-0.598,0.165,0,,,
0.721,-0.598,0.165,0,,,
0.748,-0.603,0.164,0,,,
0.744,-0.619,0.159,0,,,
0.744,-0.619,0.159,0,,,
0.743,-0.617,0.159,0,,,
0.758,-0.599,0.167,0,,,
0.758,-0.599,0.167,0,,,
0.758,-0.599,0.167,0,,,
0.765,-0.583,0.167,0,,,
0.765,-0.583,0.167,0,,,
0.767,-0.582,0.163,0,,,
0.768,-0.577,0.148,0,,,
0.768,-0.577,0.148,0,,,
0.768,-0.577,0.148,0,,,
0.765,-0.592,0.158,0,,,
0.765,-0.592,0.158,0,,,
0.763,-0.594,0.158,0,,,
0.763,-0.593,0.164,0,,,
0.763,-0.592,0.166,0,,,
0.763,-0.591,0.167,0,,,
0.766,-0.583,0.166,0,,,
0.766,-0.583,0.166,0,,,
0.766,-0.582,0.165,0,,,
0.759,-0.585,0.163,0,,,
0.76,-0.588,0.164,0,,,
0.76,-0.588,0.164,0,,,
0.763,-0.597,0.164,0,,,
0.763,-0.596,0.165,0,,,
0.758,-0.592,0.163,0,,,
0.76,-0.591,0.164,0,,,
0.76,-0.592,0.163,0,,,
0.764,-0.584,0.164,0,,,
0.764,-0.584,0.164,0,,,
0.765,-0.584,0.164,0,,,
0.766,-0.583,0.169,0,,,
0.766,-0.583,0.169,0,,,
0.767,-0.583,0.168,0,,,
0.767,-0.582,0.165,0,,,
0.767,-0.582,0.165,0,,,
0.768,-0.582,0.165,0,,,
0.765,-0.58,0.164,0,,,
0.763,-0.58,0.165,0,,,
0.763,-0.58,0.166,0,,,
0.764,-0.583,0.167,0,,,
0.765,-0.583,0.169,0,,,
0.765,-0.583,0.169,0,,,
0.76,-0.584,0.17,0,,,
0.76,-0.584,0.17,0,,,
0.76,-0.584,0.17,0,,,
0.757,-0.593,0.168,0,,,
0.757,-0.593,0.168,0,,,
0.756,-0.593,0.167,0,,,
0.763,-0.586,0.164,0,,,
0.763,-0.586,0.164,0,,,
0.763,-0.586,0.164,0,,,
0.762,-0.584,0.166,0,,,
0.762,-0.584,0.166,0,,,
0.763,-0.584,0.166,0,,,
0.772,-0.58,0.168,0,,,
0.772,-0.58,0.168,0,,,
0.772,-0.58,0.168,0,,,
0.767,-0.59,0.156,0,,,
0.768,-0.592,0.155,0,,,
0.768,-0.592,0.155,0,,,
0.763,-0.58,0.161,0,,,
0.763,-0.58,0.161,0,,,
0.764,-0.58,0.163,0,,,
0.77,-0.588,0.165,0,,,
0.77,-0.588,0.165,0,,,
0.77,-0.588,0.165,0,,,
0.772,-0.577,0.163,0,,,
0.772,-0.577,0.163,0,,,
0.773,-0.575,0.162,0,,,
0.772,-0.57,0.165,0,,,
0.77,-0.587,0.165,0,,,
0.77,-0.586,0.163,0,,,
0.768,-0.585,0.163,0,,,
0.766,-0.569,0.17,0,,,
0.766,-0.569,0.17,0,,,
0.766,-0.57,0.172,0,,,
0.771,-0.58,0.17,0,,,
0.771,-0.58,0.17,0,,,
0.77,-0.583,0.167,0,,,
0.77,-0.588,0.165,0,,,
0.77,-0.588,0.165,0,,,
0.771,-0.582,0.167,0,,,
0.779,-0.549,0.185,0,,,
0.779,-0.549,0.185,0,,,
0.779,-0.551,0.185,0,,,
0.778,-0.566,0.17,0,,,
0.778,-0.566,0.17,0,,,
0.776,-0.566,0.169,0,,,
0.774,-0.565,0.17,0,,,
0.774,-0.565,0.17,0,,,
0.775,-0.568,0.171,0,,,
0.768,-0.571,0.172,0,,,
0.768,-0.571,0.172,0,,,
0.769,-0.57,0.174,0,,,
0.773,-0.573,0.176,0,,,
0.773,-0.573,0.176,0,,,
0.771,-0.576,0.175,0,,,
0.767,-0.589,0.166,0,,,
0.767,-0.589,0.166,0,,,
0.767,-0.587,0.165,0,,,
0.776,-0.575,0.179,0,,,
0.776,-0.575,0.179,0,,,
0.772,-0.574,0.181,0,,,
0.776,-0.569,0.183,0,,,
0.776,-0.569,0.183,0,,,
0.778,-0.561,0.178,0,,,
0.779,-0.563,0.127,0,,,
0.779,-0.563,0.127,0,,,
0.784,-0.562,0.127,0,,,
0.744,-0.677,0.112,0,,,
0.744,-0.677,0.112,0,,,
0.744,-0.695,0.113,0,,,
0.742,-0.632,0.129,0,,,
0.742,-0.632,0.129,0,,,
0.757,-0.634,0.114,0,,,
0.711,-0.608,0.121,0,,,
0.711,-0.608,0.121,0,,,
0.711,-0.608,0.121,0,,,
0.732,-0.633,0.131,0,,,
0.732,-0.633,0.131,0,,,
0.739,-0.638,0.125,0,,,
0.727,-0.655,0.094,0,,,
0.721,-0.668,0.092,0,,,
0.711,-0.678,0.087,0,,,
0.704,-0.626,0.057,0,,,
0.704,-0.626,0.057,0,,,
0.709,-0.61,0.06,0,,,
0.715,-0.587,0.048,0,,,
0.715,-0.587,0.048,0,,,
0.714,-0.582,0.05,0,,,
0.751,-0.667,0.156,0,,,
0.751,-0.667,0.156,0,,,
0.753,-0.684,0.162,0,,,
0.653,-0.597,0.026,0,,,
0.722,-0.53,-0.023,0,,,
0.73,-0.515,-0.001,0,,,
0.738,-0.513,0.013,0,,,
0.764,-0.557,0.01,0,,,
0.764,-0.557,0.01,0,,,
0.763,-0.543,0.019,0,,,
0.795,-0.655,0.056,0,,,
0.795,-0.655,0.056,0,,,
0.813,-0.652,0.051,0,,,
0.862,-0.627,0.037,0,,,
0.85,-0.612,0.021,0,,,
0.841,-0.609,0.019,0,,,
0.834,-0.652,0.045,0,,,
0.834,-0.652,0.045,0,,,
0.834,-0.652,0.045,0,,,
0.848,-0.648,-0.026,0,,,
0.848,-0.648,-0.026,0,,,
0.842,-0.636,-0.03,0,,,
0.8,-0.558,-0.039,0,,,
0.801,-0.593,-0.083,0,,,
0.801,-0.593,-0.083,0,,,
0.801,-0.593,-0.083,0,,,
0.795,-0.604,-0.094,0,,,
0.795,-0.604,-0.094,0,,,
0.795,-0.604,-0.094,0,,,
0.784,-0.621,-0.093,0,,,
0.82,-0.548,-0.045,0,,,
0.82,-0.548,-0.045,0,,,
0.829,-0.543,-0.032,0,,,
0.824,-0.54,-0.022,0,,,
0.824,-0.54,-0.022,0,,,
0.828,-0.538,-0.02,0,,,
0.85,-0.517,-0.042,0,,,
0.85,-0.517,-0.042,0,,,
0.85,-0.517,-0.042,0,,,
0.844,-0.447,-0.033,0,,,
0.844,-0.447,-0.033,0,,,
0.842,-0.442,-0.032,0,,,
0.832,-0.46,0.002,0,,,
0.833,-0.47,0.007,0,,,
0.834,-0.479,0.013,0,,,
0.828,-0.499,0.011,0,,,
0.828,-0.499,0.011,0,,,
0.823,-0.504,0.004,0,,,
0.805,-0.551,-0.018,0,,,
0.805,-0.551,-0.018,0,,,
0.802,-0.562,-0.024,0,,,
0.779,-0.627,-0.054,0,,,
0.776,-0.63,-0.06,0,,,
0.776,-0.63,-0.06,0,,,
0.789,-0.611,-0.068,0,,,
0.789,-0.611,-0.068,0,,,
0.794,-0.603,-0.066,0,,,
0.815,-0.558,-0.046,0,,,
0.815,-0.558,-0.046,0,,,
0.817,-0.55,-0.041,0,,,
0.829,-0.529,-0.033,0,,,
0.829,-0.529,-0.033,0,,,
0.829,-0.529,-0.033,0,,,
0.829,-0.529,-0.047,0,,,
0.821,-0.548,-0.045,0,,,
0.821,-0.548,-0.045,0,,,
0.819,-0.552,-0.043,0,,,
0.826,-0.55,-0.036,0,,,
0.826,-0.55,-0.036,0,,,
0.829,-0.55,-0.031,0,,,
0.825,-0.546,-0.031,0,,,
0.825,-0.546,-0.031,0,,,
0.82,-0.544,-0.03,0,,,
0.812,-0.547,-0.031,0,,,
0.812,-0.547,-0.031,0,,,
0.816,-0.547,-0.032,0,,,
0.819,-0.534,-0.035,0,,,
0.819,-0.534,-0.035,0,,,
0.818,-0.532,-0.034,0,,,
0.817,-0.526,-0.034,0,,,
0.828,-0.535,-0.03,0,,,
0.828,-0.535,-0.03,0,,,
0.829,-0.535,-0.028,0,,,
0.829,-0.539,-0.025,0,,,
0.829,-0.539,-0.025,0,,,
0.829,-0.542,-0.026,0,,,
0.83,-0.552,-0.027,0,,,
0.83,-0.552,-0.027,0,,,
0.83,-0.552,-0.025,0,,,
0.815,-0.55,-0.024,0,,,
0.815,-0.55,-0.024,0,,,
0.813,-0.55,-0.023,0,,,
0.811,-0.544,-0.025,0,,,
0.811,-0.544,-0.025,0,,,
0.811,-0.543,-0.025,0,,,
0.815,-0.538,-0.029,0,,,
0.815,-0.538,-0.029,0,,,
0.816,-0.536,-0.03,0,,,
0.819,-0.528,-0.034,0,,,
0.819,-0.528,-0.034,0,,,
0.822,-0.531,-0.033,0,,,
0.82,-0.54,-0.022,0,,,
0.82,-0.54,-0.022,0,,,
0.82,-0.543,-0.021,0,,,
0.819,-0.546,-0.025,0,,,
0.819,-0.546,-0.028,0,,,
0.819,-0.546,-0.028,0,,,
0.822,-0.541,-0.031,0,,,
0.822,-0.541,-0.031,0,,,
0.821,-0.537,-0.031,0,,,
0.826,-0.542,-0.028,0,,,
0.826,-0.542,-0.028,0,,,
0.828,-0.542,-0.028,0,,,
0.825,-0.542,-0.035,0,,,
0.825,-0.542,-0.035,0,,,
0.822,-0.542,-0.036,0,,,
0.816,-0.535,-0.033,0,,,
0.816,-0.535,-0.033,0,,,
0.815,-0.533,-0.034,0,,,
0.821,-0.543,-0.033,0,,,
0.821,-0.543,-0.033,0,,,
0.823,-0.545,-0.033,0,,,
0.821,-0.545,-0.032,0,,,
0.821,-0.545,-0.032,0,,,
0.821,-0.545,-0.033,0,,,
0.822,-0.545,-0.031,0,,,
0.822,-0.545,-0.031,0,,,
0.821,-0.546,-0.033,0,,,
0.823,-0.546,-0.029,0,,,
0.823,-0.547,-0.028,0,,,
0.823,-0.549,-0.029,0,,,
0.819,-0.555,-0.05,0,,,
0.823,-0.557,-0.049,0,,,
0.823,-0.557,-0.049,0,,,
0.825,-0.549,-0.035,0,,,
0.823,-0.548,-0.028,0,,,
0.818,-0.547,-0.023,0,,,
0.837,-0.568,-0.028,0,,,
0.837,-0.568,-0.028,0,,,
0.844,-0.569,-0.028,0,,,
0.815,-0.556,-0.03,0,,,
0.815,-0.556,-0.03,0,,,
0.811,-0.554,-0.031,0,,,
0.85,-0.541,-0.042,0,,,
0.85,-0.541,-0.042,0,,,
0.805,-0.51,-0.032,0,,,
0.805,-0.516,-0.028,0,,,
0.811,-0.519,-0.025,0,,,
0.849,-0.518,-0.018,0,,,
0.849,-0.518,-0.018,0,,,
0.849,-0.518,-0.017,0,,,
0.825,-0.549,-0.014,0,,,
0.825,-0.549,-0.014,0,,,
0.822,-0.554,-0.011,0,,,
0.812,-0.546,-0.002,0,,,
0.814,-0.545,-0.002,0,,,
0.818,-0.543,0,0,,,
0.817,-0.531,0.013,0,,,
0.817,-0.531,0.013,0,,,
0.818,-0.529,0.014,0,,,
0.841,-0.531,-0.005,0,,,
0.841,-0.531,-0.005,0,,,
0.841,-0.531,-0.005,0,,,
0.801,-0.527,0.008,0,,,
0.801,-0.527,0.008,0,,,
0.794,-0.525,0.011,0,,,
0.797,-0.533,0.016,0,,,
0.797,-0.533,0.016,0,,,
0.796,-0.534,0.016,0,,,
0.773,-0.53,0.014,0,,,
0.773,-0.53,0.014,0,,,
0.774,-0.529,0.012,0,,,
0.823,-0.481,0.007,0,,,
0.823,-0.481,0.007,0,,,
0.823,-0.473,0.005,0,,,
0.809,-0.448,0.014,0,,,
0.81,-0.445,0.016,0,,,
0.81,-0.445,0.016,0,,,
0.833,-0.424,0.026,0,,,
0.833,-0.427,0.021,0,,,
