X,Y,Z,Activity
-0.088,0.931,0.167,0
-0.088,0.931,0.167,0
-0.088,0.931,0.167,0
-0.086,0.934,0.157,0
-0.086,0.934,0.157,0
-0.088,0.931,0.161,0
-0.087,0.932,0.157,0
-0.087,0.932,0.157,0
-0.088,0.933,0.155,0
-0.089,0.929,0.164,0
-0.089,0.929,0.164,0
-0.089,0.929,0.164,0
-0.087,0.927,0.164,0
-0.087,0.927,0.164,0
-0.089,0.93,0.162,0
-0.087,0.931,0.163,0
-0.087,0.931,0.163,0
-0.087,0.933,0.162,0
-0.088,0.936,0.154,0
-0.088,0.936,0.154,0
-0.088,0.936,0.154,0
-0.086,0.927,0.162,0
-0.093,0.927,0.161,0
-0.093,0.927,0.161,0
-0.093,0.927,0.161,0
-0.091,0.934,0.159,0
-0.087,0.927,0.161,0
-0.087,0.927,0.161,0
-0.087,0.924,0.161,0
-0.079,0.913,0.154,0
-0.079,0.913,0.154,0
-0.097,0.959,0.135,0
-0.086,0.924,0.175,0
-0.086,0.924,0.175,0
-0.09,0.933,0.161,0
-0.09,0.933,0.161,0
-0.09,0.933,0.161,0
-0.083,0.927,0.17,0
-0.083,0.927,0.17,0
-0.083,0.927,0.17,0
-0.088,0.922,0.173,0
-0.088,0.922,0.173,0
-0.088,0.924,0.174,0
-0.075,0.933,0.162,0
-0.077,0.931,0.162,0
-0.078,0.93,0.162,0
-0.075,0.932,0.161,0
-0.075,0.932,0.161,0
-0.075,0.93,0.155,0
-0.073,0.928,0.144,0
-0.073,0.928,0.144,0
-0.075,0.931,0.139,0
-0.069,0.927,0.145,0
-0.069,0.927,0.145,0
-0.066,0.935,0.142,0
-0.05,0.941,0.145,0
-0.05,0.941,0.145,0
-0.05,0.941,0.145,0
-0.059,0.937,0.163,0
-0.066,0.931,0.167,0
-0.066,0.931,0.167,0
-0.074,0.924,0.177,0
-0.074,0.924,0.177,0
-0.057,0.975,0.145,0
-0.052,0.907,0.151,0
-0.052,0.907,0.151,0
-0.044,0.959,0.144,0
-0.042,0.956,0.161,0
-0.042,0.956,0.161,0
-0.046,0.94,0.162,0
-0.043,0.925,0.146,0
-0.043,0.946,0.139,0
-0.043,0.946,0.139,0
-0.047,0.938,0.143,0
-0.057,0.924,0.158,0
-0.057,0.924,0.158,0
-0.058,0.922,0.158,0
-0.053,0.933,0.162,0
-0.053,0.933,0.162,0
-0.054,0.937,0.166,0
-0.054,0.929,0.175,0
-0.057,0.929,0.187,0
-0.057,0.929,0.187,0
-0.05,0.92,0.211,0
-0.05,0.92,0.211,0
-0.05,0.92,0.211,0
-0.048,0.92,0.233,0
-0.048,0.92,0.233,0
-0.046,0.923,0.235,0
-0.032,0.914,0.233,0
-0.032,0.914,0.233,0
-0.029,0.908,0.225,0
-0.037,0.917,0.248,0
-0.037,0.917,0.248,0
-0.036,0.916,0.246,0
-0.029,0.916,0.243,0
-0.029,0.916,0.243,0
-0.032,0.913,0.232,0
-0.043,0.916,0.245,0
-0.043,0.916,0.245,0
-0.041,0.911,0.242,0
-0.039,0.913,0.232,0
-0.039,0.913,0.232,0
-0.039,0.914,0.23,0
-0.039,0.924,0.233,0
-0.039,0.924,0.233,0
-0.034,0.921,0.23,0
-0.036,0.919,0.214,0
-0.036,0.919,0.214,0
-0.037,0.914,0.213,0
-0.037,0.921,0.205,0
-0.037,0.921,0.205,0
-0.037,0.921,0.205,0
-0.037,0.919,0.2,0
-0.037,0.919,0.2,0
-0.045,0.917,0.2,0
-0.049,0.914,0.208,0
-0.049,0.914,0.208,0
-0.048,0.909,0.21,0
-0.058,0.919,0.222,0
-0.058,0.919,0.222,0
-0.063,0.915,0.233,0
-0.062,0.916,0.237,0
-0.062,0.916,0.237,0
-0.056,0.915,0.247,0
-0.055,0.913,0.244,0
-0.055,0.913,0.244,0
-0.053,0.913,0.235,0
-0.056,0.914,0.236,0
-0.055,0.914,0.235,0
-0.058,0.918,0.224,0
-0.058,0.918,0.224,0
-0.06,0.917,0.223,0
-0.058,0.92,0.217,0
-0.058,0.92,0.217,0
-0.056,0.92,0.216,0
-0.045,0.924,0.21,0
-0.045,0.924,0.21,0
-0.045,0.924,0.209,0
-0.051,0.916,0.216,0
-0.048,0.909,0.248,0
-0.048,0.909,0.248,0
-0.048,0.909,0.248,0
-0.037,0.918,0.254,0
-0.037,0.918,0.254,0
-0.039,0.915,0.253,0
-0.046,0.91,0.248,0
-0.046,0.91,0.248,0
-0.046,0.911,0.246,0
-0.042,0.916,0.239,0
-0.038,0.91,0.232,0
-0.038,0.91,0.232,0
-0.036,0.919,0.224,0
-0.036,0.919,0.224,0
-0.036,0.922,0.224,0
-0.042,0.913,0.222,0
-0.042,0.913,0.222,0
-0.042,0.913,0.222,0
-0.042,0.914,0.234,0
-0.039,0.913,0.235,0
-0.039,0.913,0.235,0
-0.038,0.913,0.246,0
-0.027,0.913,0.247,0
-0.027,0.913,0.247,0
-0.026,0.911,0.246,0
-0.025,0.909,0.24,0
-0.026,0.91,0.24,0
-0.026,0.91,0.24,0
-0.028,0.91,0.242,0
-0.028,0.91,0.242,0
-0.028,0.91,0.242,0
-0.04,0.908,0.251,0
-0.04,0.908,0.251,0
-0.04,0.908,0.25,0
-0.04,0.906,0.223,0
-0.04,0.906,0.223,0
-0.039,0.908,0.223,0
-0.036,0.915,0.275,0
-0.036,0.915,0.275,0
-0.035,0.912,0.269,0
-0.036,0.901,0.221,0
-0.036,0.901,0.221,0
-0.036,0.901,0.221,0
-0.01,0.884,0.298,0
-0.01,0.884,0.298,0
-0.023,0.917,0.293,0
-0.045,0.906,0.281,0
-0.045,0.906,0.281,0
-0.025,0.906,0.282,0
-0.005,0.918,0.227,0
-0.005,0.918,0.227,0
0.002,0.914,0.219,0
-0.076,0.98,0.285,0
-0.059,0.984,0.273,0
-0.059,0.984,0.273,0
0.006,0.878,0.305,0
0.008,0.865,0.311,0
0.008,0.865,0.311,0
0.006,0.823,0.314,0
0.006,0.823,0.314,0
0.003,0.831,0.313,0
-0.016,0.904,0.286,0
-0.016,0.904,0.286,0
-0.021,0.905,0.268,0
-0.024,0.895,0.257,0
-0.024,0.895,0.257,0
-0.022,0.897,0.254,0
-0.014,0.968,0.223,0
-0.014,0.968,0.223,0
-0.014,0.968,0.223,0
-0.025,0.919,0.226,0
-0.04,0.916,0.22,0
-0.048,0.914,0.215,0
-0.027,0.919,0.226,0
-0.027,0.919,0.226,0
-0.024,0.921,0.224,0
-0.015,0.92,0.218,0
-0.015,0.92,0.218,0
-0.016,0.923,0.214,0
-0.023,0.918,0.201,0
-0.023,0.924,0.199,0
-0.023,0.922,0.202,0
-0.012,0.93,0.198,0
-0.012,0.93,0.198,0
-0.012,0.93,0.197,0
-0.011,0.919,0.201,0
-0.013,0.924,0.2,0
-0.013,0.924,0.2,0
-0.01,0.923,0.193,0
-0.014,0.927,0.19,0
-0.013,0.927,0.192,0
-0.017,0.92,0.188,0
-0.017,0.92,0.188,0
-0.015,0.917,0.188,0
-0.017,0.927,0.157,0
-0.012,0.906,0.187,0
-0.014,0.935,0.173,0
-0.016,0.926,0.182,0
-0.016,0.926,0.182,0
-0.015,0.926,0.182,0
-0.012,0.928,0.188,0
-0.012,0.928,0.188,0
-0.012,0.928,0.189,0
-0.017,0.924,0.195,0
-0.017,0.924,0.195,0
-0.016,0.925,0.195,0
-0.018,0.919,0.186,0
-0.018,0.919,0.186,0
-0.017,0.914,0.19,0
-0.019,0.924,0.213,0
-0.019,0.924,0.213,0
-0.018,0.91,0.218,0
-0.03,0.979,0.165,0
-0.03,0.979,0.165,0
-0.041,0.986,0.193,0
-0.021,0.929,0.255,0
-0.021,0.929,0.255,0
-0.029,0.961,0.238,0
-0.01,0.917,0.272,0
-0.01,0.917,0.272,0
-0.013,0.894,0.266,0
-0.047,0.842,0.245,0
-0.047,0.842,0.245,0
-0.047,0.854,0.245,0
-0.04,0.952,0.245,0
-0.039,0.965,0.25,0
-0.039,0.965,0.25,0
-0.03,0.901,0.243,0
-0.03,0.901,0.243,0
-0.033,0.898,0.241,0
-0.052,0.915,0.291,0
-0.052,0.915,0.291,0
-0.049,0.912,0.295,0
-0.048,0.853,0.28,0
-0.048,0.853,0.28,0
-0.06,0.84,0.276,0
-0.113,0.808,0.287,0
-0.113,0.808,0.287,0
-0.101,0.814,0.288,0
-0.041,0.876,0.297,0
-0.041,0.876,0.297,0
-0.042,0.873,0.291,0
-0.057,0.911,0.234,0
-0.057,0.911,0.234,0
-0.044,0.956,0.222,0
-0.011,1.002,0.223,0
-0.02,0.983,0.224,0
-0.086,0.848,0.229,0
-0.086,0.848,0.229,0
-0.091,0.845,0.237,0
-0.053,0.906,0.238,0
-0.053,0.906,0.238,0
-0.034,0.919,0.232,0
-0.015,0.944,0.23,0
-0.015,0.944,0.23,0
-0.026,0.935,0.23,0
-0.065,0.922,0.235,0
-0.065,0.922,0.235,0
-0.062,0.94,0.24,0
0.039,0.999,0.208,0
0.039,0.999,0.208,0
-0.08,0.824,0.259,0
-0.075,0.827,0.268,0
-0.069,0.861,0.261,0
-0.005,0.966,0.228,0
-0.005,0.966,0.228,0
-0.03,0.894,0.255,0
-0.03,0.894,0.255,0
-0.033,0.897,0.255,0
-0.02,0.908,0.258,0
-0.021,0.915,0.241,0
-0.021,0.915,0.241,0
-0.027,0.921,0.236,0
-0.029,0.926,0.224,0
-0.029,0.926,0.224,0
-0.024,0.919,0.224,0
-0.013,0.911,0.229,0
-0.013,0.911,0.229,0
-0.014,0.915,0.229,0
-0.027,0.911,0.231,0
-0.027,0.911,0.231,0
-0.027,0.911,0.231,0
-0.013,0.909,0.249,0
-0.013,0.909,0.249,0
-0.019,0.909,0.231,0
-0.021,0.926,0.234,0
-0.021,0.926,0.234,0
-0.021,0.926,0.234,0
-0.049,0.913,0.221,0
-0.04,0.909,0.238,0
-0.033,0.905,0.245,0
-0.011,0.927,0.237,0
-0.02,0.918,0.236,0
-0.02,0.918,0.236,0
-0.008,0.9,0.249,0
-0.013,0.922,0.254,0
-0.011,0.924,0.249,0
-0.011,0.924,0.249,0
-0.031,0.899,0.267,0
-0.031,0.899,0.267,0
-0.032,0.898,0.263,0
-0.014,0.875,0.266,0
-0.014,0.875,0.266,0
-0.01,0.86,0.257,0
-0.019,0.895,0.251,0
-0.019,0.895,0.251,0
0.096,0.839,0.074,0
0.002,0.928,0.229,0
0.002,0.928,0.229,0
0.032,0.96,0.126,0
-0.006,0.932,0.223,0
0,0.889,0.318,0
0,0.889,0.318,0
-0.012,0.891,0.304,0
-0.001,0.896,0.153,0
-0.012,0.994,0.163,0
-0.012,0.994,0.163,0
0.011,0.988,0.172,0
0.019,0.877,0.005,0
0.029,0.903,0.015,0
0.029,0.903,0.015,0
0.034,0.957,0.042,0
0.033,0.939,0.037,0
0.033,0.939,0.037,0
0.082,0.96,0.026,0
0.068,0.95,0.022,0
0.068,0.95,0.022,0
0.061,0.942,0.028,0
0.039,0.905,0.205,0
0.082,0.965,0.037,0
0.083,1.013,-0.1,0
0.1,0.966,0.029,0
0.058,0.934,0.024,0
0.058,0.934,0.024,0
0.058,0.934,0.024,0
0.048,0.944,0.052,0
0.048,0.944,0.052,0
0.054,0.958,0.041,0
0.056,0.954,0.043,0
0.056,0.954,0.043,0
0.061,0.964,0.066,0
0.042,0.933,0.033,0
0.042,0.933,0.033,0
0.047,0.938,0.047,0
0.036,0.922,0.037,0
0.039,0.931,0.048,0
0.039,0.931,0.048,0
0.046,0.948,0.059,0
0.045,0.951,0.063,0
0.045,0.951,0.063,0
0.041,0.946,0.058,0
0.041,0.946,0.058,0
0.045,0.946,0.058,0
0.048,0.954,0.067,0
0.048,0.954,0.067,0
0.05,0.946,0.063,0
0.04,0.951,0.059,0
0.04,0.951,0.059,0
0.038,0.949,0.059,0
0.042,0.949,0.061,0
0.027,0.943,0.047,0
0.027,0.943,0.047,0
0.024,0.939,0.045,0
0.029,0.952,0.043,0
